User_Name,Is_Local_Guide,User_Total_Reviews,Rating,Review_Date,Has_Image,Review_Text,Sentiment,Kategori_Operasional,Urgency_Level
mr danel,Ya,25,4,4 bulan lalu,Tidak,"Selalu enak, but perlu lebih diperhatikan kebersihannya",Positif,"Produk/Makanan, Suasana/Tempat",Rendah
iman maulana,Bukan,5,1,setahun lalu,Tidak,"-Pelayanannya kurang ramah, baru sampai diburu"" suruh milih ikan padahal tidak ada antrian di belakang saya 😁. -Untuk tempatnya tidak terlalu bersih, makan di pinggir jalan tidak di restoran …",Negatif,"Pelayanan/Staf, Suasana/Tempat",Sedang
Sofia Mufridha,Bukan,1,1,setahun lalu,Tidak,"Rupanya ndak cuman sy,. Kenyataan muncul setelah dari kasir.. Cukup tau saja, n tdk rekom unt keluarga & kerabat.. …",Negatif,Harga,Sedang
Iwan Kurniawan,Bukan,3,1,setahun lalu,Tidak,HATI2 YG LAINNYA JANGAN SEKALI2 MAKAN DI PADIN TIDAK ADA DAFTAR MENU DAN HARGANYA HARGA MAHAL POOLL.....😫😫😫😫 1 gurami bakar + 2 nasi + sambel pencit + teh manis dan es jeruk Rp.2250.000 LEBIH LEBIH BAIK MAKAN IKAN BAKAR DI JALAN GENTENG KALI.....ENAKK..HARGA JAHU LEBIH MURAHH... …,Negatif,"Harga, Produk/Makanan",Tinggi
Hendra M.A.S,Ya,50,3,7 tahun lalu,Ya,Banyak pilihan menu ikan disana.. Goreng dan bakar. Tempat parkir ada. Akan tetapi harga nya agak mahal. Mungkin kalangan atas sekarang,Netral,"Produk/Makanan, Harga",Rendah
Eroll Gamel,Ya,6,1,setahun lalu,Tidak,"Cukup yakin ini scam. Mereka ngegetok harga dari sate satean, liat aja di aplikasi ojek online, sate satean sengaja tsb tidak dijual. Sate Babat 48 ribu (1 tusuk) lebih mahal dari bebek/ayamnya.",Negatif,"Harga, Produk/Makanan",Tinggi
Roy Wibisono,Ya,305,3,setahun lalu,Ya,Lokasi dan rasa biasa saja Harga bintang 5 .,Negatif,"Produk/Makanan, Harga",Rendah
ieeeutm 2021,Bukan,3,1,2 tahun lalu,Tidak,"Sudah banyak yang review, rasa ok sambal ok, tempat tidak terlalu bersih, harga mahal sekali untuk kelas non mall. Es teh 13rb, nasi 11rb, lele 1 ekor 18k...",Negatif,"Produk/Makanan, Harga",Sedang
nisrina nina,Bukan,7,1,setahun lalu,Tidak,"Menyesall, tampak luar seperti warung penyet biasa tapi harga mengalahkan resto. Tempatnya kotor, ikan ga ada bumbunya, hambar, sambel dikit, ga enak, harga menjebak",Negatif,"Produk/Makanan, Harga",Sedang
88 Spa and Massage,Ya,230,5,8 bulan lalu,Tidak,❤️🔥👌💯🔥 Tempat penyetan sesambalan yang ramai sekali.. Enak banget …,Positif,"Produk/Makanan, Suasana/Tempat",Rendah
Dodik Akhmad,Ya,26,1,setahun lalu,Tidak,"Sebenarnya gpp kalau mahal tapi fasilitas oke. Yang jadi kecewa itu mahal tapi fasilitas dan penampilan makanan sama kaya kaki5. Kalau modelan tempatnya kaya Ikan Bakar Cianjur gitu, masih masuk harganya.",Negatif,"Harga, Fasilitas/Parkir",Sedang
Sinchan Laros,Bukan,2,1,setahun lalu,Tidak,"Pertama masuk pilih menu (ikan bawal +/- 7 ons, 1 ptg bebek goreng, tahu, tempe, terong, pete dan es teh tawar+nasi 2 porsi). Banyak lalat hinggap. Rasa ikan hambar krn bumbu tdk meresap. Selesai makan menuju kasir dan membayar Rp 403.000,- Cukup sekali makan disana.",Negatif,"Produk/Makanan, Harga",Sedang
Shadiqy artib,Ya,319,5,5 tahun lalu,Ya,"Mantap, sambel pedes, harga murah, harus disinggahi oleh pecinta kuliner yg singgah di Surabaya.",Positif,"Produk/Makanan, Harga",Rendah
Nini Retno Wulan,Bukan,3,2,2 tahun lalu,Tidak,"Rasa BIASA aja ga ada yg istimewa. Tapi harganya ga masuk akal. Cukup sekali saja makan disini. Bebek 1, ayam 1, lele 2, tahu tempe, es teh, jeruk, es coklat bengbeng, terong total 225ribu!!! Harga segini lebih baik makan restoran!!",Negatif,"Produk/Makanan, Harga",Sedang
Stephanie Avila,Ya,36,2,setahun lalu,Tidak,"Serba asin,heran jg knp bnyk artis makan disini kcl hrg yg selangit,rasanya semua masakan asin.gurami grg kurus kering 115rb,sate babat tipis 1 tusuk 48rb,yg bikin melongo,nasi 13rb,berasa hrg makanan dihotel ..lol..iseng2 coba ya sdhlah …",Negatif,"Produk/Makanan, Harga",Sedang
rijal jalu,Ya,167,4,6 tahun lalu,Ya,"Saya sih suka makan di sini, walaupun harga memang agak mahal 😉 …",Positif,Harga,Rendah
Yulianti Pramono,Bukan,4,1,2 tahun lalu,Tidak,Sate cumi asin yg isinya cuma 5 biji kecil” 1 tusuk 40rb. Gk ada menu harga tiba” pas bayar makan nasi plus sate cumi 2 tusuk 114rebu. Rasa standar penyetan pd umumnya tapi harga astaghfirullah lah😂 buat menangis bs makan direstoran harga …,Negatif,"Produk/Makanan, Harga",Sedang
Teddy Lee,Ya,107,5,4 tahun lalu,Ya,"Pecel enak nih Sambel nya jg mantapp, sambel tomat nya sih asikk bgt...",Positif,Produk/Makanan,Rendah
Informatic UNIRA,Ya,113,4,7 tahun lalu,Ya,"enak.. tapi tempatnya, menurut saya kurang nyaman",Netral,Suasana/Tempat,Rendah
Made Aisyah,Bukan,6,1,setahun lalu,Tidak,Maaf review jujur ikan bakar guraminya tidak ada rasanya dan masih basah Sambal juga kurang enak Saya kira sekelas didatangin artis rasanya enak …,Negatif,Produk/Makanan,Sedang
Zamroni Fams,Ya,227,5,9 tahun lalu,Ya,Salah satu warung penyet yg buka 24jam di Surabaya. Meskipun harganya tidak bisa dibilang murah tetapi sudah terkenal banget di Surabaya,Positif,Harga,Rendah
Mohammad Ilham,Bukan,3,1,7 bulan lalu,Tidak,Menurut saya sih mending dilaporin resto ini biar tutup. Kalo ngga didoain yang punya biar tobat,Negatif,Lainnya,Sedang
Nardo Leo,Bukan,6,1,2 bulan lalu,Tidak,Ampun mahalnya ngalahin fine dining,Negatif,Harga,Sedang
Yusi Repelitawati,Bukan,1,1,setahun lalu,Tidak,"Mahal poll,,,,, nasi 4 ,gurami 1 ,kerapu 1,terong 2 ,tempe kecil2 4 , jeruk panas 2 ,es teh 2 Rp 488.000,,rasa biasa sj , ibunya yg jualin jutek banget ,tempat kumuh ,kapokk😓😡 …",Negatif,"Harga, Pelayanan/Staf",Sedang
Ratih Kampai,Bukan,6,1,setahun lalu,Tidak,"Seminggu yang lalu makan disini , sumpah kaget, makan bertiga habis 700 ribu, Nasi putih 1 porsi 10,000, udang 1 tusuk isi 3 hatganya 40,000, pdahal cuman di pinggir jalan aja, tmpt makan gak pake AC, ini harga berner2 ngasal, Mendingan mikir2 lagi deh makan disini",Negatif,"Harga, Suasana/Tempat",Sedang
Fajar Budi,Bukan,1,1,setahun lalu,Tidak,"Kalau Bebek harga segitu mah lumrah, ini good day harga 27 ribu. Mungkin good day nya ambil dari Jerman",Negatif,Harga,Rendah
albert yuwono,Ya,14,1,setahun lalu,Ya,"Pertama kali makan di tempat ini kaget dengan total harganya, salah nya di awal tidak tanya dulu harga per menu nya berapa karena tidak ada daftar Harga, pas bayar kaget dengan harga nya yang mahal tidak masuk diakal, pengalaman berharga dan tidak akan kembali lagi ke tempat makan ini",Negatif,Harga,Sedang
Ade Yuliet,Bukan,2,1,Diedit setahun lalu,Tidak,"Menu lumayan lengkap, tempat lumayan besar meski tanpa AC, rasanya makanan standar sama dg penyetan warung kecil pinggir jalan tp harganya mehonk alias muahal sekalii, bikin dompet syok beraat.. Ditambah lg Pelayan2nya ga ramah. Cukup …",Negatif,"Harga, Pelayanan/Staf",Sedang
Nandisia Kharisma,Bukan,2,1,2 tahun lalu,Tidak,"Harga gak masuk akal, mahal banget gilak !!! Bebek+nasi 62rb, es jeruk 25rb, pete 12rb, terong 6rb, es teh 13rb Bebek juga ga yg gede, size kecil Ga recommend pkonya lah mending cari makanan lain",Negatif,"Harga, Produk/Makanan",Sedang
Rizal Fauzi,Bukan,5,1,setahun lalu,Tidak,"Rasa B aja soal harga kalah semua restoran ternama, mahal rasa enak gak masalah, harga tak tertera pas bayar gak ikhlas rasanya harga segitu makanannya gak wort it sama sekali, yg belum nyoba silahkan dicoba guys tp lak wes mr ojok meso 🤣🤣🤣 …",Negatif,"Harga, Produk/Makanan",Sedang
Rossa Ocha,Bukan,5,1,2 tahun lalu,Tidak,"Mahal banget asli. Makan berdua habis 175k. Mending dibuat makan diresto ataupun beli seafood bang jaja pasti bisa buat makan sekeluarga. Ikan gurame ukuran kecil : 120k, nasi 2 : 18k, es jeruknya tambah gak masuk akal : 25k, es teh : 12k.. sangat tidak worth it untuk kalangan warung. Menyesal sih beli disini wkwkwk",Negatif,"Harga, Produk/Makanan",Sedang
Bakoel ayam,Bukan,2,3,2 tahun lalu,Tidak,"Sangat disayangkan, dengan harga segitu semestinya jangane menggunakan kasir manual (tulis tangan).. karna harganya juga lumayan yaa.. saran saya tolong dikasih price list dibuku menunya. Di online gurame bakar harganya 90ribu. Beli lgsg 120ribu.. mending beli online sjjaa 🥺🙈 …",Negatif,"Harga, Pelayanan/Staf",Sedang
Nazalul kharirotul Azizah,Ya,9,1,setahun lalu,Tidak,"Makanan mahal bgt ga worthit sama rasanya, tempat kotor banyak nyamuk, pelayananya kureng makanya sekarang sepi pdhl dulu viral cukup sekali deh",Negatif,"Harga, Suasana/Tempat",Sedang
Ananda Ayu,Ya,303,4,4 tahun lalu,Ya,Masih sepedas yg dulu ttp kembali kesini tp Akan lebih menyenangkan jika tempatnya lebih bersih.,Netral,"Suasana/Tempat, Produk/Makanan",Rendah
Yasmin Dhani,Bukan,2,2,2 tahun lalu,Tidak,"Jujurly agak kapok makan disini Harga nya ngalahin makan di resto layar, 1 kerapu bakar sedang 155rb paru 46rb, ayam goreng kampung paha atas bawah 32rb …",Negatif,"Harga, Produk/Makanan",Sedang
Bayu Winaryanto,Bukan,11,1,2 tahun lalu,Tidak,"Makanan mahal bgt,rasa biasa seperti tukang pecel ayam/ayam penyetan lainnya, sate paru 1 buah 48.000(ukuran kyk sate di bubur gede dikit) masih murah bebek Kaleyo,bebek H Slamet yg lebih enak. …",Negatif,"Harga, Produk/Makanan",Sedang
Adi Rachmawan,Bukan,14,1,6 bulan lalu,Tidak,"Harga mahal banget, coba koreksi sih harganya kemahalan tau",Negatif,Harga,Sedang
Lutfan Holid,Bukan,4,1,7 bulan lalu,Tidak,Rasa Kaki Lima Harga Pejabat... Pertama dan terakhir kalinya makan disini,Negatif,"Harga, Produk/Makanan",Sedang
Dimas Nugroho,Ya,751,2,2 tahun lalu,Tidak,"Makanan B aja, kadang enak kadang kurang beres, kadang besar kadang biasa. Harga setara restoran besar tapi tidak transparan. Buku menu tidak tertera harga, harus proaktif tanya dan kalkulasi sendiri saat memesan, dan kalau tidak cocok tidak usah malu tinggal pergi saja. Nota tulis tangan tidak jelas. Kebersihan kurang. Buka 24 jam.",Negatif,"Harga, Produk/Makanan",Sedang
Allium Nusantara Jaya,Bukan,6,1,2 tahun lalu,Tidak,"Rasa enak, harga tidak masuk akal mengingat tempatnya bukan hotel bintang 5. Jeruk murni hangat harga 70ribu. Kerapu kecil 185, Bebek tanpa nasi 50rb, 1 paru kecil tanpa nasi 48rb, kakap kecil tanpa nasi 170ribu. Mending di selayar....",Negatif,"Harga, Suasana/Tempat",Sedang
Pandu dewantari Mardiana,Bukan,4,1,2 tahun lalu,Tidak,"Baru pertama kali makan disini tiga orang habis 500 rb an jujur kaget Overpriced banget,, Paru, udang isi 3, usus sapi, babat, per 1 tusuknya harga 40-48 rb, gilanya lagi …",Negatif,Harga,Sedang
Cindy ariestika Putri,Bukan,3,1,setahun lalu,Ya,"Gk worthit untuk dibeli, makanan B aja dan harga selangit, makanan segini 300 lebih🤣🤣samapai dikasir sama"" pelangak pelongok, mikirnya mungkin sama seperti bang jaja, taunya 2x lipat bang jaja🤣 mna bawak duit pas""san lagi🤣🤣kapok"" 🤣 yang …",Negatif,"Harga, Pelayanan/Staf",Sedang
Irzal Rinaldi,Ya,24,3,2 tahun lalu,Tidak,Taste yang cuma lumayan tidak sebanding dgn over priced nya. Sebaiknya tanya harga dulu harga ikan sebelum pesan. Ga pake timbang disini. Kerapu/ kakap 150 ribu ukuran kecil.,Negatif,"Harga, Produk/Makanan",Sedang
Anita Firdaus,Bukan,4,1,setahun lalu,Tidak,"Kaget harga es bengbeng sama jeruk nipis 25k, usahakan yg mau makan tanya2 dlu harganya jangan malu.. biar gak kaget.. krna dsana harga tidak transparan",Negatif,Harga,Sedang
sabitha wina,Bukan,2,1,2 tahun lalu,Tidak,MAHAL BGT! Sekelas makanan kaki lima dengan harga semahal itu bener2 ga worth it. Rasa juga biasa aja. Bumbu bebeknya asin pol. Paru juga ga fresh rasanya. Makan ber4 habis 400rb mending makan di resto fancy mall daripada disini. Pantes sepi,Negatif,"Harga, Produk/Makanan",Sedang
Apip Rea,Ya,253,4,9 tahun lalu,Ya,"Menu prasmanannya bervariatif, sambal dan lalabnya cukup oke. Ada ruang ac, tp wastafelnya muter2.",Netral,"Produk/Makanan, Fasilitas/Parkir",Rendah
Vitadyant,Ya,30,5,3 tahun lalu,Ya,"agak pricey tp worth, sambelnya enak, ikannya masih seger, buka 24 jam",Positif,"Harga, Produk/Makanan",Rendah
Masyhur Ginzany,Bukan,1,1,setahun lalu,Tidak,Jangan Beli disini lagi...KAAPOOK... harganya MAHAL SELANGIT KALAH HOTEL BINTANG 5.....Tolong kepada seluruh KULINER jangan sampai makan terjebak disini....PASTI MENYESAL...,Negatif,Harga,Sedang
Didik Edi Riyanto,Bukan,7,1,7 bulan lalu,Tidak,"Harga kemahalan, masih banyak tempat makan dh harga lebih normal",Negatif,Harga,Sedang
Rohmatulloh,Bukan,9,5,3 tahun lalu,Ya,"Mntapp, yang baru ke Surabaya dan bagi faforit food rekomended bangt ini tmpt",Positif,Produk/Makanan,Rendah
Marcellinus Ferdinand Suciadi (Èxsharaèn),Bukan,54,1,4 tahun lalu,Tidak,"Tidak ada harga di menu, pastikan nanya harga dulu sebelum beli, kalau perlu didedes aja sampai keluar harga, kalau nggak ya ga dikasih tahu (bocoran: gurame 100rb, bebek 43rb, nasi putih 8rb, sisanya lihat ulasan). Rasa biasa. Kalau tidak suka pedas, jangan pesan sambel yang pedas, beneran pedas banget.",Netral,"Harga, Produk/Makanan",Sedang
Simon Cristian,Ya,24,3,3 tahun lalu,Tidak,Pesen Makan : 2 nasi 2 bungkus pete …,Netral,Produk/Makanan,Rendah
Vira Raminta,Ya,138,2,3 tahun lalu,Tidak,"Antara rasa, harga, ukuran ikan betul2 gak sebanding, kakap merah gak ada setengah kilo beratnya, harganya 140 ribu lebih dan bumbu bakarnya gak ada rasa. Wastafel dan toilet kotor.Menurut saya mahal tapi yang makan banyak banget jadi selera saja.",Negatif,"Produk/Makanan, Harga",Sedang
Deddy,Ya,23,1,2 tahun lalu,Tidak,"Makanan beneran biasa aja malah ayam gorengnya keras. Ikan dori bakar telalu asin dan mahal banget, Rp.185k/ekor??. Ayam goreng 32k ! Buat kalian.. sebaiknya tanya aja harga makanan sblm pesan dan duduk. Atau gak usah makan disini.. kecuali kamu duitnya banyak 😒 …",Negatif,"Produk/Makanan, Harga",Sedang
Yolanda Kurniawati,Ya,20,2,2 tahun lalu,Tidak,"Dari segi rasa lalapan enak dan sambal mantul. Namun sayang, untuk ikan bakar terlalu gosong dan rasanya hambar. …",Netral,Produk/Makanan,Rendah
Dimas Arista,Bukan,2,1,3 tahun lalu,Tidak,"Over price bangeet, makan ber 7 habis 1jt lebih dikit. Rasa tidak sesuai dengan harga, makan di jimbaran bali 1jt lebih dikit bisa dpt udang, kerang, kepiting dan ikan bakar. Kalau rasa yg khas dan worth sy ikhlas dan ga kecewa spt ini. …",Negatif,"Produk/Makanan, Harga",Sedang
Ikrima Sochifah,Ya,119,5,Diedit 7 tahun lalu,Ya,"Penyetan lovers... u must try this 😼 apalagi yg suka pedees, dijamin puas sama sambalnya padin. Hahahahaa …",Positif,Produk/Makanan,Rendah
Jemmy Tan,Ya,11,4,3 tahun lalu,Tidak,"Sdh baca komen2 kl harga mahal, tp krn ini yg terdekat, jd sekalian saja tes apakah benar2 mahal atau tidak . Makan berdua dgn menu 1 potong ayam goreng, 1 potong bebek goreng, tempe+tahu …",Netral,"Produk/Makanan, Harga",Rendah
Indah Lestari,Bukan,5,3,3 tahun lalu,Tidak,Setiap k sby pasti mampir pak din. Tp ko makin ksini harga nya makin ngaco ya.. Pernah dgn makan menu yg sm harga nya sekian.. bsoknya harga nya lebih mahal. Pernah makan ikan bakar gurame ga terlalu besar sm terong aja hampir 200rb. …,Negatif,"Produk/Makanan, Harga",Sedang
andreas tri septi,Bukan,5,1,setahun lalu,Tidak,Mahal banget bebek 50k nasinya 11k es teh 13 masak ber 4 kenak 300++ menurut saya rasanya juga gak enak..,Negatif,"Produk/Makanan, Harga",Sedang
Niswin Nasilah,Bukan,5,1,setahun lalu,Tidak,"Pantesan ulasannya jelek semua, emang gak wort it sama sekali, rasanya B aja tp harganya luar biasa mahalnya, cukup sekali salah masuk restoran",Negatif,"Produk/Makanan, Harga",Sedang
muhammad abdika,Ya,14,1,setahun lalu,Tidak,Sudah tempat nya kotor makanan nya ngga enak dan harga nya mahal….. Rasa tidak sesuai dengan harga dan kualitas makanan nya buruk…. Kita sebagai konsumen walaupun mahal tapi enak ngga masalah…. …,Negatif,"Produk/Makanan, Harga",Sedang
Siti Asia Fauzi Siti Aisyah,Ya,21,2,8 tahun lalu,Ya,Ih sambel nya pedes banget.bayar dulu baru makan.agak mahal jg sih.,Negatif,"Produk/Makanan, Harga",Sedang
R O M M Y,Ya,47,1,2 tahun lalu,Tidak,Bukan restoran yang akan buat kamu balik lagi. Cukup sekali nyobain udah lebih dr cukup. …,Negatif,Produk/Makanan,Sedang
Gerry RcH D' Driver,Ya,11,3,5 tahun lalu,Ya,Dinner With Bebek Goreng Always Alone 😁😂 Kalau Bersama Dia Gk Muat di Budget hargane Lumayan Mahal 😁 …,Negatif,"Produk/Makanan, Harga",Sedang
Wahyu Ery Saputro,Bukan,10,1,3 tahun lalu,Tidak,"Pengalaman yang sangat buruk makan di PADIN ini!! Demi Allah rasanya HAMBAR, ga ada enak² nya. Tidak tercantum harganya. Pesan Gurame dan udang sm es sirup kena 220 ribu. Astaghfirullah, nyebutt saya. Udah gitu ga dikasih struk. Pedagang …",Negatif,"Produk/Makanan, Harga",Sedang
Deddy Syahrial,Ya,129,5,6 tahun lalu,Ya,Banyak pilihan menu. Cuman sayang tempat sambel dan ikannya jadi satu .. jadi terlalu penuh,Netral,"Suasana/Tempat, Produk/Makanan",Rendah
Lukman Widodo,Ya,24,4,3 tahun lalu,Ya,Kalau makan disini harus bawa uang lebih. Karena harganya d atas rata2,Negatif,Harga,Sedang
Suyono Katemi,Bukan,11,1,setahun lalu,Tidak,"Kapok makan disini harganya mahalnya minta ampun,resto resto dimall aja harganya kalah jauh,makan disini minimal 1 orang 60rb😭😭,tadi malam coba makan disini 6 orang dengan makanan sederhana habisnya 388rb dengan minum teh panas,kapok gak bakal balik lagi …",Negatif,Harga,Sedang
Nurul Huda,Bukan,2,1,2 tahun lalu,Tidak,"KAGET PUOOLL, Gak nyangka deh, makanan dan tempat sekelas warung sederhana, HARGANYA LUUAARR BIASSA melebihi hotel bintang 5. …",Negatif,"Harga, Suasana/Tempat",Sedang
Firmansyah 3648,Ya,114,5,6 tahun lalu,Ya,"Mantap dah. Pedesnya pas, bumbunya terasa, pelayanannya cepat. Bisa dicoba lagi..",Positif,"Produk/Makanan, Pelayanan/Staf",Rendah
Erna Puspitarini,Bukan,3,1,7 bulan lalu,Tidak,Mahal banget anjirr harga gak masuk akal samsek..,Negatif,Harga,Sedang
Titto Mahardhika,Ya,3,1,2 tahun lalu,Tidak,"OVERPRICE , Tidak Worth it sama sekali ayam 1 potong 33rb nasi 11rb …",Negatif,"Harga, Produk/Makanan",Sedang
Ybanez Vijeysechan Hamadi,Ya,75,3,3 tahun lalu,Tidak,"salah satu tempat makan ikan bakar yang cukup populer dengan terpampangnya artis-artis yang pernah makan disini, walau rasa yang ditawarkan sebenarnya terbilang standar dan cukup biasa. Untuk harga makanan sebenarnya tidak terlalu …",Netral,"Produk/Makanan, Harga",Rendah
Ira Yusnita,Ya,23,1,2 tahun lalu,Tidak,"Mahal banget makan berdua habis 170k 2 paru:96k ,2 nasi:18k, 1 teh hangat:12k, 1 teh tarik:24k ,1 peté:12k, 1 terong:6k,1 tahu,1 tempe ;2k …",Negatif,"Harga, Produk/Makanan",Sedang
Ilham Rabakodo,Bukan,4,1,3 tahun lalu,Tidak,"Merasa di prank makan di kaki 5 dengan harga bintang 5, rasa makananx biasa aja. …",Negatif,"Harga, Produk/Makanan",Sedang
yolanda ayu,Ya,208,4,3 tahun lalu,Ya,"Menurut saya yang mantep sambalnya, utk segi rasa ayam bakar nya standart sedangkan utk ikan bakarnya saya rasa kurang. Kalau kamu pengen yang always ready disini bisa jadi opsi. Untuk harga yaa buat ber 2 bisa bawa 150-200rb kalau makan ikan bakar.",Netral,"Produk/Makanan, Harga",Rendah
Kiekie Herlambang,Bukan,1,1,2 tahun lalu,Tidak,"Sangat amat tidak masuk akal, tempat biasa rasa biasa saja,.... Tidak ad harga n dirugikan klo yg bwa uang OK tp klo uang pas pasan jngan kesini. Gue byar mahal asalkan worth-it.. Ini gak blass mending k resto yg nyata saja.",Negatif,"Harga, Suasana/Tempat",Sedang
Oyehadi,Ya,565,3,2 tahun lalu,Ya,"Tempatnya kurang bersih, bekas makanan tdk segera dibersihkan",Negatif,"Suasana/Tempat, Pelayanan/Staf",Sedang
zoe cr,Ya,99,4,3 tahun lalu,Ya,"Makan rame2 selepas acara rapat kantor, mantap buka 24 jam",Positif,Suasana/Tempat,Rendah
Mersi Amenk,Ya,139,5,3 tahun lalu,Ya,"Kesini berlima dgn temen2 kantor dr jkt karena dekat dgn hotel kami menginap. Pesan 1 ikan kakap bakar, 1 ikan gurame bakar, sate usu, 1 sate babat, 2 sate paru, 5 minuman teh, nasi 4,5 porsi dan sambal free 4 porsi... Agak kaget jg sih …",Netral,"Produk/Makanan, Harga",Rendah
deby Nur alvani,Bukan,1,1,setahun lalu,Tidak,Ikan nya gak ada rasa tolong di perbaiki lagi makan 2 org bisa sampe 450rb gak masuk akal dgn harga sgtu dan ikan bakar nya gak ada rasanya,Negatif,"Produk/Makanan, Harga",Sedang
Steven,Ya,52,3,2 tahun lalu,Tidak,"Buka 24 jam, makanan biasa saja. Pelayan kurang ramah. Untuk harga memang cukup mahal dibanding penyetan biasa lainnya. Jadi untuk yang mau makan di sini, bisa menyediakan uang yang cukup atau bisa menggunakan debit BCA.",Negatif,"Produk/Makanan, Pelayanan/Staf",Sedang
Nanda Medyka,Ya,68,1,3 bulan lalu,Tidak,Untuk kaum mendang mending skip dulu,Negatif,Harga,Sedang
Kreasindo Cemerlang,Bukan,1,1,setahun lalu,Tidak,"Hati hati kalau makan dimari, Boss. Ikan bawal goreng 1 ekor ukuran 1 kg lah 300 rb, 2 tusuk babat 96 rb. 😭 …",Negatif,"Produk/Makanan, Harga",Tinggi
Dewi Rahma,Ya,21,4,2 tahun lalu,Tidak,Cocok bgt bagi yang pecinta pedes...cmn untuk harga menurut saya...cukup mahal di antara yang lain...cmn entah kenapa padin tetep bikin nagihi sambel nya...🥴..sedikit sarann mungkin target harga per item ayam bisa di kurangin😖 …,Netral,"Produk/Makanan, Harga",Rendah
Martinus Aer,Ya,223,5,Diedit 7 bulan lalu,Ya,"Sambal maknyuus, rasa indonesia. Mantap 👍👍👍 …",Positif,Produk/Makanan,Rendah
hamzi hafiz,Ya,285,1,7 tahun lalu,Tidak,Jangan sekali kali kalian ke tempat ini. Harga bener-bener di tembak dan ga masuk akal. Kemarin saat saya ke surabaya. Saya coba makan di sini. Aneh nya gak ada daftar harga nya malah saya kalau ingin membeli langsung mengambil lauk nya. …,Negatif,Harga,Tinggi
elisa mahawira,Bukan,2,1,setahun lalu,Tidak,kebanyakan HAMA pengemis makanan udah mahal. rasa biasa . ngamen dan ngemisnya ganggu banget orang makan.,Negatif,"Pelayanan/Staf, Harga",Sedang
Agus Suparman,Bukan,2,2,5 tahun lalu,Tidak,"tempat kemproh, kotor sekali. nasinya mahal tapi pake beras murahan banyak batu, terong ada ulatnya. harga makanannya mahal sekali. kalo rame panasnya beehh. rasa b aja. sambal nya standart. es jeruk 18.000, nasi putih 7.000(+krikil krikil), bebek saja 35.000, terong 5.000(+ulat). pertama dan terakhir. 😁 …",Negatif,"Produk/Makanan, Suasana/Tempat",Tinggi
Soka Malinda,Ya,19,3,2 tahun lalu,Ya,"Ga ada foto makanan tapi disini menurutku overprice ya.. untuk setusuk paru aja harganya segitu, ga wajar sih Ayam juga harganya ga masuk akal.. …",Negatif,"Produk/Makanan, Harga",Sedang
Ulkina Zaila2800,Bukan,1,1,2 tahun lalu,Tidak,"Harganya GK masuk akal, ke sana lima orang makan cuman udang 2, paru 1, ayam 2, es teh 4, air putih 1. Habis 475 Gilak bangett,,, buat yang belom ke sini jangann lupaa siap kan uang lima ratus ke atass",Negatif,"Produk/Makanan, Harga",Tinggi
Angela Yulianti hoo,Bukan,8,1,3 tahun lalu,Tidak,"Makanan nya rasanya biasa aja,harga nya luar biasa mehong. Terutama es teh nya 1 gelas 12 RB saingan Ama resto bintang 5. Bebek goreng 42 RB , nasi putih 9 RB",Negatif,"Produk/Makanan, Harga",Sedang
Rizka Haliman,Ya,72,1,8 tahun lalu,Ya,"Di pintu masuk kamu akan disajikan beberapa jenis ikan yang sudah digoreng, ayam bumbu kuning yang belum digoreng, dan bebek. Ada jepitan makanan, yang mana artinya kamu bisa langsung ambil apa saja yang mau kamu makan. Setelahnya, maju …",Netral,Pelayanan/Staf,Rendah
Rizki Gatra Rovino,Ya,98,1,setahun lalu,Tidak,cukup enak cuma kemahalan mau naik haji. sate paru 1 tusuk 48rb …,Negatif,"Produk/Makanan, Harga",Sedang
intan nirmala,Ya,223,4,6 tahun lalu,Tidak,"secara rasa mantap banget sambelnya. pilihan lauknya juga banyak, lokasi strategis dan 24 jam buka. meskipun bukan resto besar, tapi banyak artis artis yang uda pernah makan disini, terlihat dari foto foto yang terpajang. sayangnya, …",Positif,"Produk/Makanan, Suasana/Tempat",Rendah
Novia Adytama,Ya,10,1,2 tahun lalu,Tidak,"Gak masuk akall sama harganya rasanya juga biasa aja 🫤kapok makan dari situ meskipun udah terkenal tapi bner” gak masuk akal kalau kasih harga ,mentang” yg kesitu bukan asli org sby jadi dikira gk bakal balik 😏 …",Negatif,"Harga, Produk/Makanan",Sedang
Zulfikar Nur Rahmat,Ya,52,5,Diedit 3 tahun lalu,Ya,"Banyak pilihan, bisa request di bakar atau di goreng. Untuk tempat selalu bersih. Pegawai gercep(cekatan) mantablah",Positif,"Produk/Makanan, Suasana/Tempat",Rendah
R P,Ya,583,2,Diedit 4 tahun lalu,Tidak,"Jujur sambel ulegnya emg enak, tapi harganya yg gak enak. Makin banyak dikunjungi artis ibukota makin naik aja harganya.. dulu gak semahal sekarang lho. …",Negatif,"Produk/Makanan, Harga",Sedang
anki l,Ya,237,3,3 tahun lalu,Tidak,Kenal Padin sejak masih jualan di pinggir jalan banget. Sekarang sudah masuk ke dalam ruko. …,Netral,Suasana/Tempat,Rendah
Yeni Wulandari,Bukan,2,1,setahun lalu,Tidak,"Harga tdk sesuai sm makananya,ayam alot,udang keras,jangan ksini dah mesti byk foto artisnya.",Negatif,"Harga, Produk/Makanan",Sedang
