User_Name,Is_Local_Guide,User_Total_Reviews,Rating,Review_Date,Has_Image,Review_Text
"Made Aisyah","Bukan","6","1","setahun lalu","Tidak","Maaf review jujur ikan bakar guraminya tidak ada rasanya dan masih basah Sambal juga kurang enak Saya kira sekelas didatangin artis rasanya  enak …"
"Zamroni Fams","Ya","227","5","9 tahun lalu","Ya","Salah satu warung penyet yg buka 24jam di Surabaya. Meskipun harganya tidak bisa dibilang murah tetapi sudah terkenal banget di Surabaya"
"Mohammad Ilham","Bukan","3","1","7 bulan lalu","Tidak","Menurut saya sih mending dilaporin resto ini biar tutup. Kalo ngga didoain yang punya biar tobat"
"Nardo Leo","Bukan","6","1","2 bulan lalu","Tidak","Ampun mahalnya ngalahin fine dining"
"Yusi Repelitawati","Bukan","1","1","setahun lalu","Tidak","Mahal pollll,,,,, nasi 4 ,gurami 1 ,kerapu 1,terong 2 ,tempe kecil2 4 , jeruk panas 2 ,es teh 2 Rp 488.000,,rasa biasa sj , ibunya yg jualin jutek banget ,tempat kumuh ,kapokkkkkkk😓😡 …"
"Ratih Kampai","Bukan","6","1","setahun lalu","Tidak","Seminggu yang lalu makan disini , sumpah kaget, makan bertiga habis 700 ribu, Nasi putih 1 porsi 10,000,  udang 1 tusuk isi 3 hatganya 40,000,  pdahal cuman di pinggir jalan aja, tmpt makan gak pake AC,  ini harga berner2 ngasal,  Mendingan  mikir2 lagi deh makan disini"
"Fajar Budi","Bukan","1","1","setahun lalu","Tidak","Kalau Bebek harga segitu mah lumrah, ini good day harga 27 ribu. Mungkin good day nya ambil dari Jerman"
"albert yuwono","Ya","14","1","setahun lalu","Ya","Pertama kali makan di tempat ini kaget dengan total harganya, salah nya di awal tidak tanya dulu harga per menu nya berapa karena tidak ada daftar Harga, pas bayar kaget dengan harga nya yang mahal tidak masuk diakal, pengalaman berharga dan tidak akan kembali lagi ke tempat makan ini"
"Ade Yuliet","Bukan","2","1","Diedit setahun lalu","Tidak","Menu lumayan lengkap, tempat lumayan besar meski tanpa AC, rasanya makanan standar sama dg penyetan warung kecil pinggir jalan tp harganya mehonk alias muahal sekaliiii, bikin dompet syok beraat.. Ditambah lg Pelayan2nya ga ramah.  Cukup …"
"Nandisia Kharisma","Bukan","2","1","2 tahun lalu","Tidak","Harga gak masuk akal, mahal banget gilak !!! Bebek+nasi 62rb, es jeruk 25rb, pete 12rb, terong 6rb, es teh 13rb Bebek juga ga yg gede, size kecil Ga recommend pkonya lah mending cari makanan lain"
"Rizal Fauzi","Bukan","5","1","setahun lalu","Tidak","Rasa B aja soal harga kalah semua restoran ternama, mahal rasa enak gak masalah, harga tak tertera pas bayar gak ikhlas rasanya harga segitu makanannya gak wort it sama sekali, yg belum nyoba silahkan dicoba guys tp lak wes mr ojok meso 🤣🤣🤣 …"
"Rossa Ocha","Bukan","5","1","2 tahun lalu","Tidak","Mahal banget asli. Makan berdua habis 175k. Mending dibuat makan diresto ataupun beli seafood bang jaja pasti bisa buat makan sekeluarga. Ikan gurame ukuran kecil : 120k, nasi 2 : 18k, es jeruknya tambah gak masuk akal : 25k, es teh : 12k.. sangat tidak worth it untuk kalangan warung. Menyesal sih beli disini wkwkwk"
"Bakoel ayam","Bukan","2","3","2 tahun lalu","Tidak","Sangat disayangkan, dengan harga segitu semestinya jangane menggunakan kasir manual (tulis tangan).. karna harganya juga lumayan yaa.. saran saya tolong dikasih price list dibuku menunya. Di online gurame bakar harganya 90ribu. Beli lgsg 120ribu.. mending beli online sjjaa 🥺🙈 …"
"Nazalul kharirotul Azizah","Ya","9","1","setahun lalu","Tidak","Makanan mahal bgt ga worthit sama rasanya, tempat kotor banyak nyamuk, pelayananya kureng makanya sekarang sepi pdhl dulu viral  cukup sekali deh"
"Ananda Ayu","Ya","303","4","4 tahun lalu","Ya","Masih sepedas yg dulu ttp kembali kesini tp Akan lebih menyenangkan jika tempatnya lebih bersih."
"Yasmin Dhani","Bukan","2","2","2 tahun lalu","Tidak","Jujurly agak kapok makan disini Harga nya ngalahin makan di resto layar, 1 kerapu bakar sedang 155rb paru 46rb, ayam goreng kampung paha atas bawah 32rb …"
"Bayu Winaryanto","Bukan","11","1","2 tahun lalu","Tidak","Makanan mahal bgt,rasa biasa seperti tukang pecel ayam/ayam penyetan lainnya, sate paru 1 buah 48.000(ukuran kyk sate di bubur gede dikit) masih murah bebek Kaleyo,bebek H Slamet yg lebih enak. …"
"Adi Rachmawan","Bukan","14","1","6 bulan lalu","Tidak","Harga mahal banget, coba koreksi sih harganya kemahalan tau"
"Lutfan Holid","Bukan","4","1","7 bulan lalu","Tidak","Rasa Kaki Lima Harga Pejabat... Pertama dan terakhir kalinya makan disini"
"Dimas Nugroho","Ya","751","2","2 tahun lalu","Tidak","Makanan B aja, kadang enak kadang kurang beres, kadang besar kadang biasa. Harga setara restoran besar tapi tidak transparan. Buku menu tidak tertera harga, harus proaktif tanya dan kalkulasi sendiri saat memesan, dan kalau tidak cocok tidak usah malu tinggal pergi saja. Nota tulis tangan tidak jelas. Kebersihan kurang. Buka 24 jam."
"Allium Nusantara Jaya","Bukan","6","1","2 tahun lalu","Tidak","Rasa enak, harga tidak masuk akal mengingat tempatnya bukan hotel bintang 5. Jeruk murni hangat harga 70ribu. Kerapu kecil 185, Bebek tanpa nasi 50rb, 1 paru kecil tanpa nasi 48rb, kakap kecil tanpa nasi 170ribu. Mending di selayar...."
"Pandu dewantari Mardiana","Bukan","4","1","2 tahun lalu","Tidak","Baru pertama kali makan disini tiga orang habis 500 rb an jujur kaget Overpriced banget,, Paru, udang isi 3, usus sapi, babat, per 1 tusuknya harga 40-48 rb, gilanya lagi …"
"Cindy ariestika Putri","Bukan","3","1","setahun lalu","Ya","Gk worthit untuk dibeli, makanan B aja dan harga selangit, makanan segini 300 lebih🤣🤣samapai dikasir sama"" pelangak pelongok, mikirnya mungkin sama seperti bang jaja, taunya 2x lipat bang jaja🤣 mna bawak duit pas""san lagi🤣🤣kapok"" 🤣 yang …"
"Irzal Rinaldi","Ya","24","3","2 tahun lalu","Tidak","Taste yang cuma lumayan tidak sebanding dgn over priced nya. Sebaiknya tanya harga dulu harga ikan sebelum pesan. Ga pake timbang disini. Kerapu/ kakap 150 ribu ukuran kecil."
"Anita Firdaus","Bukan","4","1","setahun lalu","Tidak","Kaget harga es bengbeng sama jeruk nipis 25k, usahakan yg mau makan tanya2 dlu harganya jangan malu.. biar gak kaget.. krna dsana harga tidak transparan"
"sabitha wina","Bukan","2","1","2 tahun lalu","Tidak","MAHAL BGT! Sekelas makanan kaki lima dengan harga semahal itu bener2 ga worth it. Rasa juga biasa aja. Bumbu bebeknya asin pol. Paru juga ga fresh rasanya. Makan ber4 habis 400rb mending makan di resto fancy mall daripada disini. Pantes sepi"
"Apip Rea","Ya","253","4","9 tahun lalu","Ya","Menu prasmanannya bervariatif, sambal dan lalabnya cukup oke. Ada ruang ac, tp wastafelnya muter2."
"Vitadyant","Ya","30","5","3 tahun lalu","Ya","agak pricey tp worth, sambelnya enak, ikannya masih seger, buka 24 jam"
"Masyhur Ginzany","Bukan","1","1","setahun lalu","Tidak","Jangan Beli disini lagi...KAAAPOOOK...  harganya MAHAL SELANGIT KALAH HOTEL BINTANG 5.....Tolong kepada seluruh KULINER jangan sampai makan terjebak disini....PASTI MENYESAL..."
"Didik Edi Riyanto","Bukan","7","1","7 bulan lalu","Tidak","Harga kemahalan, masih banyak tempat makan dh harga lebih normal"
"Rohmatulloh","Bukan","9","5","3 tahun lalu","Ya","Mntapp, yang baru ke Surabaya dan bagi faforit food rekomended bangt ini tmpt"
"Marcellinus Ferdinand Suciadi (Èxsharaèn)","Bukan","54","1","4 tahun lalu","Tidak","Tidak ada harga di menu, pastikan nanya harga dulu sebelum beli, kalau perlu didedes aja sampai keluar harga, kalau nggak ya ga dikasih tahu (bocoran: gurame 100rb, bebek 43rb, nasi putih 8rb, sisanya lihat ulasan). Rasa biasa. Kalau tidak suka pedas, jangan pesan sambel yang pedas, beneran pedas banget."
"Simon Cristian","Ya","24","3","3 tahun lalu","Tidak","Pesen Makan : 2 nasi 2 bungkus pete …"
"Vira Raminta","Ya","138","2","3 tahun lalu","Tidak","Antara rasa, harga, ukuran ikan betul2 gak sebanding, kakap merah gak ada setengah kilo beratnya, harganya 140 ribu lebih dan bumbu bakarnya gak ada rasa. Wastafel dan toilet kotor.Menurut saya mahal tapi yang makan banyak banget jadi selera saja."
"Deddy","Ya","23","1","2 tahun lalu","Tidak","Makanan beneran biasa aja malah ayam gorengnya keras. Ikan dori bakar telalu asin dan mahal banget, Rp.185k/ekor??. Ayam goreng 32k ! Buat kalian.. sebaiknya tanya aja harga makanan sblm pesan dan duduk. Atau gak usah makan disini.. kecuali kamu duitnya banyak 😒 …"
"Yolanda Kurniawati","Ya","20","2","2 tahun lalu","Tidak","Dari segi rasa lalapan enak dan sambal mantul. Namun sayang, untuk ikan bakar terlalu gosong dan rasanya hambar. …"
"Dimas Arista","Bukan","2","1","3 tahun lalu","Tidak","Over price bangeeet, makan ber 7 habis 1jt lebih dikit. Rasa tidak sesuai dengan harga, makan di jimbaran bali 1jt lebih dikit bisa dpt udang, kerang, kepiting dan ikan bakar. Kalau rasa yg khas dan worth sy ikhlas dan ga kecewa spt ini. …"
"Ikrima Sochifah","Ya","119","5","Diedit 7 tahun lalu","Ya","Penyetan lovers... u must try this 😼 apalagi yg suka pedees, dijamin puas sama sambalnya padin. Hahahahaa …"
"Jemmy Tan","Ya","11","4","3 tahun lalu","Tidak","Sdh baca komen2 kl harga mahal, tp krn ini yg terdekat, jd sekalian saja tes apakah benar2 mahal atau tidak . Makan berdua dgn menu 1 potong ayam goreng, 1 potong bebek goreng, tempe+tahu …"
"Indah Lestari","Bukan","5","3","3 tahun lalu","Tidak","Setiap k sby pasti mampir pak din. Tp ko makin ksini harga nya makin ngaco ya.. Pernah dgn makan menu yg sm harga nya sekian.. bsoknya harga nya lebih mahal. Pernah makan ikan bakar gurame ga terlalu besar sm terong aja hampir 200rb. …"
"andreas tri septi","Bukan","5","1","setahun lalu","Tidak","Mahal banget bebek 50k nasinya 11k es teh 13 masak ber 4 kenak 300++ menurut saya rasanya juga gak enak.."
"Niswin Nasilah","Bukan","5","1","setahun lalu","Tidak","Pantesan ulasannya jelek semua, emang gak wort it sama sekali, rasanya B aja tp harganya luar biasa mahalnya, cukup sekali salah masuk restoran"
"muhammad abdika","Ya","14","1","setahun lalu","Tidak","Sudah tempat nya kotor makanan nya ngga enak dan harga nya mahal….. Rasa tidak sesuai dengan harga dan kualitas makanan nya buruk…. Kita sebagai konsumen walaupun mahal tapi enak ngga masalah…. …"
"Siti Asia Fauzi Siti Aisyah","Ya","21","2","8 tahun lalu","Ya","Ih sambel nya pedes banget.bayar dulu baru makan.agak mahal jg sih."
"R O M M Y","Ya","47","1","2 tahun lalu","Tidak","Bukan restoran yang akan buat kamu balik lagi. Cukup sekali nyobain udah lebih dr cukup. …"
"Gerry RcH D' Driver","Ya","11","3","5 tahun lalu","Ya","Dinner With Bebek Goreng Always Alone 😁😂 Kalau Bersama Dia Gk Muat di Budget hargane Lumayan Mahal 😁 …"
"Wahyu Ery Saputro","Bukan","10","1","3 tahun lalu","Tidak","Pengalaman yang sangat buruk makan di PADIN ini!! Demi Allah rasanya HAMBAR, ga ada enak² nya. Tidak tercantum harganya. Pesan Gurame dan udang sm es sirup kena 220 ribu. Astaghfirullah, nyebutt saya. Udah gitu ga dikasih struk. Pedagang …"
"Deddy Syahrial","Ya","129","5","6 tahun lalu","Ya","Banyak pilihan menu. Cuman sayang tempat sambel dan ikannya jadi satu .. jadi terlalu penuh"
"Lukman Widodo","Ya","24","4","3 tahun lalu","Ya","Kalau makan disini harus bawa uang lebih. Karena harganya d atas rata2"
"Suyono Katemi","Bukan","11","1","setahun lalu","Tidak","Kapok makan disini harganya mahalnya minta ampun,resto resto dimall aja harganya kalah jauh,makan disini minimal 1 orang 60rb😭😭,tadi malam coba makan disini 6 orang dengan makanan sederhana habisnya 388rb dengan minum teh panas,kapok gak bakal balik lagi …"
"Nurul Huda","Bukan","2","1","2 tahun lalu","Tidak","KAGET PUOOLL, Gak nyangka deh, makanan dan tempat sekelas warung sederhana, HARGANYA LUUAARR BIASSA melebihi hotel bintang 5. …"
"Firmansyah 3648","Ya","114","5","6 tahun lalu","Ya","Mantap dah. Pedesnya pas, bumbunya terasa, pelayanannya cepat. Bisa dicoba lagi.."
"Erna Puspitarini","Bukan","3","1","7 bulan lalu","Tidak","Mahal banget anjirr harga gak masuk akal samsek.."
"Titto Mahardhika","Ya","3","1","2 tahun lalu","Tidak","OVERPRICE , Tidak Worth it sama sekali ayam 1 potong 33rb nasi 11rb …"
"Ybanez Vijeysechan Hamadi","Ya","75","3","3 tahun lalu","Tidak","salah satu tempat makan ikan bakar yang cukup populer dengan terpampangnya artis-artis yang pernah makan disini, walau rasa yang ditawarkan sebenarnya terbilang standar dan cukup biasa. Untuk harga makanan sebenarnya tidak terlalu …"
"Ira Yusnita","Ya","23","1","2 tahun lalu","Tidak","Mahal banget makan berdua habis 170k 2 paru:96k ,2 nasi:18k, 1 teh hangat:12k, 1 teh tarik:24k ,1 peté:12k, 1 terong:6k,1 tahu,1 tempe ;2k …"
"Ilham Rabakodo","Bukan","4","1","3 tahun lalu","Tidak","Merasa di prank makan di kaki 5 dengan  harga bintang 5, rasa makananx biasa aja. …"
"yolanda ayu","Ya","208","4","3 tahun lalu","Ya","Menurut saya yang mantep sambalnya, utk segi rasa ayam bakar nya standart sedangkan utk ikan bakarnya saya rasa kurang. Kalau kamu pengen yang always ready disini bisa jadi opsi. Untuk harga yaa buat ber 2 bisa bawa 150-200rb kalau makan ikan bakar."
"Kiekie Herlambang","Bukan","1","1","2 tahun lalu","Tidak","Sangat amat tidak masuk akal, tempat biasa rasa biasa saja,.... Tidak ad harga n dirugikan klo yg bwa uang OK tp klo uang pas pasan jngan kesini. Gue byar mahal asalkan worth-it.. Ini gak blasss mending k resto yg nyata saja."
"Oyehadi","Ya","565","3","2 tahun lalu","Ya","Tempatnya kurang bersih, bekas makanan tdk segera dibersihkan"
"zoe cr","Ya","99","4","3 tahun lalu","Ya","Makan rame2 selepas acara rapat kantor, mantap buka 24 jam"
"Mersi Amenk","Ya","139","5","3 tahun lalu","Ya","Kesini berlima dgn temen2 kantor dr jkt karena dekat dgn hotel kami menginap. Pesan 1 ikan kakap bakar, 1 ikan gurame bakar, sate usu, 1 sate babat, 2 sate paru, 5 minuman teh, nasi 4,5 porsi dan sambal free 4 porsi... Agak kaget jg sih …"
"deby Nur alvani","Bukan","1","1","setahun lalu","Tidak","Ikan nya gak ada rasa tolong di perbaiki lagi makan 2 org bisa sampe 450rb gak masuk akal dgn harga sgtu dan ikan bakar nya gak ada rasanya"
"Steven","Ya","52","3","2 tahun lalu","Tidak","Buka 24 jam, makanan biasa saja. Pelayan kurang ramah. Untuk harga memang cukup mahal dibanding penyetan biasa lainnya. Jadi untuk yang mau makan di sini, bisa menyediakan uang yang cukup atau bisa menggunakan debit BCA."
"Nanda Medyka","Ya","68","1","3 bulan lalu","Tidak","Untuk kaum mendang mending skip dulu"
"Kreasindo Cemerlang","Bukan","1","1","setahun lalu","Tidak","Hati hati kalau makan dimari, Boss. Ikan bawal goreng 1 ekor ukuran 1 kg lah 300 rb, 2 tusuk babat 96 rb. 😭 …"
"Dewi Rahma","Ya","21","4","2 tahun lalu","Tidak","Cocok bgt bagi yang pecinta pedes...cmn untuk harga menurut saya...cukup mahal di antara yang lain...cmn entah kenapa padin tetep bikin nagihi sambel nya...🥴..sedikit sarann mungkin target harga per item ayam bisa di kurangin😖 …"
"Martinus Aer","Ya","223","5","Diedit 7 bulan lalu","Ya","Sambal maknyuuus, rasa indonesia. Mantap 👍👍👍 …"
"hamzi hafiz","Ya","285","1","7 tahun lalu","Tidak","Jangan sekali kali kalian ke tempat ini. Harga bener-bener di tembak dan ga masuk akal. Kemarin saat saya ke surabaya. Saya coba makan di sini. Aneh nya gak ada daftar harga nya malah saya kalau ingin membeli langsung mengambil lauk nya. …"
"elisa mahawira","Bukan","2","1","setahun lalu","Tidak","kebanyakan HAMA pengemis   makanan udah mahal. rasa biasa . ngamen dan ngemisnya ganggu banget orang makan."
"Agus Suparman","Bukan","2","2","5 tahun lalu","Tidak","tempat kemproh, kotor sekali. nasinya mahal tapi pake beras murahan banyak batu, terong ada ulatnya. harga makanannya mahal sekali. kalo rame panasnya beeehhh. rasa b aja. sambal nya standart.  es jeruk 18.000, nasi putih 7.000(+krikil krikil), bebek saja 35.000, terong 5.000(+ulat). pertama dan terakhir. 😁 …"
"Soka Malinda","Ya","19","3","2 tahun lalu","Ya","Ga ada foto makanan tapi disini menurutku overprice ya.. untuk setusuk paru aja harganya segitu, ga wajar sih Ayam juga harganya ga masuk akal.. …"
"Ulkina Zaila2800","Bukan","1","1","2 tahun lalu","Tidak","Harganya GK masuk akal, ke sana lima orang makan cuman udang 2, paru 1, ayam 2, es teh 4, air putih 1. Habis 475 Gilak bangettt,,, buat yang belom ke sini jangann lupaa siap kan uang lima ratus ke atasss"
"Angela Yulianti hoo","Bukan","8","1","3 tahun lalu","Tidak","Makanan nya rasanya biasa aja,harga nya luar biasa mehong. Terutama es teh nya 1 gelas 12 RB saingan Ama resto bintang 5. Bebek goreng 42 RB , nasi putih 9 RB"
"Rizka Haliman","Ya","72","1","8 tahun lalu","Ya","Di pintu masuk kamu akan disajikan beberapa jenis ikan yang sudah digoreng, ayam bumbu kuning yang belum digoreng, dan bebek. Ada jepitan makanan, yang mana artinya kamu bisa langsung ambil apa saja yang mau kamu makan. Setelahnya, maju …"
"Rizki Gatra Rovino","Ya","98","1","setahun lalu","Tidak","cukup enak cuma kemahalan mau naik haji.  sate paru 1 tusuk 48rb …"
"intan nirmala","Ya","223","4","6 tahun lalu","Tidak","secara rasa mantap banget sambelnya. pilihan lauknya juga banyak, lokasi strategis dan 24 jam buka. meskipun bukan resto besar, tapi banyak artis artis yang uda pernah makan disini, terlihat dari foto foto yang terpajang. sayangnya, …"
"Novia Adytama","Ya","10","1","2 tahun lalu","Tidak","Gak masuk akall sama harganya rasanya juga biasa aja 🫤kapok makan dari situ meskipun udah terkenal tapi bner” gak masuk akal kalau kasih harga ,mentang” yg kesitu bukan asli org sby jadi dikira gk bakal balik 😏 …"
"Zulfikar Nur Rahmat","Ya","52","5","Diedit 3 tahun lalu","Ya","Banyak pilihan, bisa request di bakar atau di goreng. Untuk tempat selalu bersih. Pegawai gercep(cekatan) mantablah"
"R P","Ya","583","2","Diedit 4 tahun lalu","Tidak","Jujur sambel ulegnya emg enak, tapi harganya yg gak enak. Makin banyak dikunjungi artis ibukota makin naik aja harganya.. dulu gak semahal sekarang lho. …"
"anki l","Ya","237","3","3 tahun lalu","Tidak","Kenal Padin sejak masih jualan di pinggir jalan banget. Sekarang sudah masuk ke dalam ruko. …"
"Yeni Wulandari","Bukan","2","1","setahun lalu","Tidak","Harga tdk sesuai sm makananya,ayam alot,udang keras,jangan ksini dah mesti byk foto artisnya."
"Rafly","Bukan","9","1","4 tahun lalu","Tidak","harga overprice, tulisan di nota selalu gak jelas dan harganya berubah2. pernah di naikin total sampe 80rb, setelah di tegur ternyata ayam goreng jadi 45rb an harusnya 33rb😁 …"
"Mul yadi","Bukan","5","3","setahun lalu","Ya","🫣🫣🫣 Cukup sekali dan trakhir aja dah makan dsini berdua bisa 🤣🤣🤣🤣 Rasa B aja lebih nikmat warung sebelah Seafood biasa dan melebihi bisa makan lebih dri 5 orang …"
"Satria karunia Rahmat","Bukan","11","1","2 tahun lalu","Tidak","overprice banget ini, gurami 1 harga 120k udang  1 tusuk isi 5 hrga48k bukan buat kaum mendang mending, karena mending ga usah kesini sekalian rasa cuma asin garem gurame bakar ga sedep sama sekali"
"Aku Gabut","Bukan","4","1","setahun lalu","Tidak","ternyata rating emang gapernah bohong, untuk harga terlalu mahal dengan rasa dan kualitas yg apa adanya, lebih baik pilih tempat lain🙏 …"
"Rachel Z","Bukan","2","1","setahun lalu","Tidak","Nyesel makan disana, tempat kaki lima harga termasuk sangat mahal, porsi juga termasuk kecil, jauh jauh makan disana hasilnya ga enak, sambelnya kurang enak, minding di resto ternama mahal tapi enak dan banyak"
"Jangan Hutang","Bukan","1","2","2 tahun lalu","Tidak","Paling benci,mereka ini punya ruko namun tempat parkirnya itu adalah jalan umum yg semua masyarakat harusnya bisa parkir disana,makan atau tidak makan disana,pelayan yang meresahkan,neriakin orang seperti maling,sumpah pengen nuntut …"
"evangelista dewi","Bukan","4","1","2 tahun lalu","Tidak","Mahal bgt makan disini entah cuma aku apa ada yg lain Lele (1biji)  28K Udang (1tusuk isi 4)  40K …"
"aya rach","Ya","10","1","3 tahun lalu","Tidak","Sebenernya lumayan enak, bebek bakar nya empuk enak. Tapi pas bayar ko kaget ya makan sendiri 120.000 🤣 (bebek 1, nasi 1, paru 1, terong , daun ubi, teh tawar, sambal) …"
"M. Tamsir","Ya","97","1","3 tahun lalu","Tidak","Ikan bakar ukuran terkecil, dicharge ukuran ikan paling besar .... dikomplain, dikembalikan 15rb. Harga gak karuan charge semaunya kasir .... harga juga gak worthed !!! Kemahalan untuk ukuran ikan bakar bahkan jika dibandingkan dengan beli ikan bakar di Resto seafood Layar sekalipun"
"Len Rhei","Ya","14","3","3 tahun lalu","Ya","Wow terkejut aja sama harga babatnya. Untung ada sambel"
"King Poring","Ya","59","4","Diedit 5 bulan lalu","Tidak","rasa kaki lima, harga bintang lima"
"Capri Red","Bukan","3","1","setahun lalu","Tidak","Tempat banyak laler gak layak buat makan Harga nya selangit, makanan jga gak enak Klo harga selangit tempat makan bagus rasa enak ikhlas buat bayar nya"
"Danang Sapputra","Ya","471","3","4 tahun lalu","Tidak","sebenarnya rasa sih biasa saja, nggak istimewa. tempat juga walaupun luas tetapi terasa kurang nyaman untuk makan santai, terasa sempit antar meja dan pelayanan terkesan acak adul (pesanan yg dipesan ternyata salah dihidangkan dan sampai …"
"Norma Ningsih","Bukan","2","1","2 tahun lalu","Tidak","Dari awal masuk curiga sih..buku menu ga ada pricenya.. minuman yang dateng gelas jumbo.. pas bayar kaget... overpriced luwar biasaa.... …"
"Avi Yusnan","Bukan","1","1","5 tahun lalu","Tidak","Nyesel pesen gak tanya harga... jadinya muahal... Maunya mau mengenang bebek legendaris jaman waktu tinggal di surabaya. Dulu uenak sekali, ada bumbu kuning, sambel e mantap, pokok e bebek e joss. Tapi sekarang dah jauuuhhh dari kenangan waktu itu. Dan harganya itu loh...bikin nyesel dan pasti orang gak bakal balik lagi"
"NadNad Soeprapto","Ya","124","1","2 tahun lalu","Tidak","Ya Allah.. ampun, sumpah ampun.. kalo kalian warga jakarta atau bandung bebeknya masih enakan bebek kaleyo... Jangan beli disini beneran deh beneran... …"
"Buy Ung","Ya","26","2","setahun lalu","Tidak","Jujur aja makanan di sini enak sambel banyak pilihan, tapi harga nya overprice and soal kebersihan rada mines sih, with same price buat late night dinner better ke mcd or KFC"
"Cécile M","Ya","107","4","7 tahun lalu","Tidak","Enak banget !! Sayang beberapa item agak Mahal untuk ukuran kaki Lima.  Ikan nya 75000. Tapi Tempe nya 1000 an sih. Jadi tergantung kita pilihnya apa …"
"Anggi Suryanika","Ya","311","2","5 tahun lalu","Tidak","Gak tau ini resto dari tahun kapan baru nemu di surabaya. Tempatnya ga milenial, meja kursi seperti warung makan biasa, memang semua ayam dan ikan di freezer bisa pilih, tapi harga mahal banget. Rasa biasa aja kayak penyetan umumnya. Mungkin mahal di sambalnya yg se-cobek penuh. Ga pengen balik kesini lagi."
"Stefano Calvin","Ya","158","5","4 tahun lalu","Ya","Babat dan usunya enak banget. Pecinta sambel harus coba. Sambelnya nampoll."
"Eddy Sukandar Fx","Bukan","1","1","Diedit setahun lalu","Tidak","Mahal pol..harga ayam 50 rb..harga ngawurr.Nuthux namanya..tdk barokah.Sekali kapok."
"Yudi Hilman","Bukan","5","2","6 tahun lalu","Ya","Harganya lumayan mahal. Kalau rasa ku rasa ada aja yg sama dengan ini tapi harga lebih murah."
"David Tan","Ya","110","1","2 tahun lalu","Tidak","Penyetan yg aneh, ga enak, mahal, tapi rame … kuapok banget makan disini, udah paling bener penyetan di mall sama mahalnya lebih enak lebih nyaman atau yg kaki lima pisan"
"cherry kucing Ragdoll ku","Ya","36","5","6 tahun lalu","Tidak","Enak siiiiih, sambel nya juga mantaaab (agak keasinan dikit kl mnurut lidahku). Tapiiiii harganya mayaaaan mihiiiil kl menurutku yaaa.... …"
"Henny Wijaya","Bukan","2","1","3 tahun lalu","Tidak","Maaf sy ksih 1 bintang aja. Rasa B banget Harga M banget …"
"Vidya Putri","Bukan","2","1","4 tahun lalu","Tidak","Sangat mahal gaes ya. Tempat pinggir jalan harga seperti restoran. Gilaak. 1 ekor ikan 125rb g masuk akal banget. 1 piring nasi 8rb. Minuman satu gelas sekitar 18rb an. Kalau mau kesini pikir2 dl deh ya. 😁 …"
"Erma GMS","Ya","11","1","3 tahun lalu","Tidak","Over price, tidak sesuai dan harga sangat tidak masuk akal, melebihi restoran, pada saat milih ikan penjual ditanya segini berapa jawabnya nanti aja saat bayar, ternyata benar pas bayar 2 gurami bakar, 1 dorang, 7 nasi, 7 es teh, habisnya 600rb"
"Abdul Rachman","Ya","20","1","2 tahun lalu","Ya","Gini doang 120rb. Harganya ngawur"
"Agus Mukhlisin","Ya","155","5","2 tahun lalu","Ya","Makanan enak,  banyak pilihan menu bakaran maupun Goreng"
"Arinda Rahmadiani","Bukan","4","1","3 bulan lalu","Tidak","Overprice, makanan hambar, ambience kotor ...."
"Lily","Bukan","7","1","6 tahun lalu","Tidak","Dateng ke sana jam 5 pagi cuma ada 4 paha bebek goreng, ikan sih banyak, tp bebek tinggal segitu dan ayam habis. Pas bayar dikasih bon yg bikin terkejoood  ya sudahlah semoga enak. Tnyataaa alot banget kayak ngajak berantem. Dulu empuk dan …"
"anis lathifah","Bukan","4","1","6 tahun lalu","Tidak","Harga mahal bgt. semua lauknya rasae biasa ajaaaa, cuma sambelnya doang yg joss itupun jg mahal sambelnya. Udang harga 25rb cuma dapet 4 udang kecil LITERALLY UDANG KECIL UKURAN 2CM buibuuuu, brrti per pcs udang kena harga 5rb lebih🤣🤣🤣 …"
"it buntok","Bukan","1","1","3 tahun lalu","Tidak","Ketika saya dan teman2 sampai di Surabaya sekitar jam11 malam , kita tanya sama orang sana makan khas Sby apa yang cocok buat kami terus di rekom untuk makan di padin .. kita mampir .. dan kita pesan ikan bakar .. eh tahu nya pas bayar ke …"
"Calvin Antonio","Ya","76","4","4 tahun lalu","Tidak","Untuk sambalnya bisa pedes dan memang terasa pedesnya, buka nya sekarang bukan 24 jam tapi ada waktu tutupnya juga. Untuk harga mungkin sedikit overprice seperti ikan dihargai 100 an"
"dhiga veans","Ya","67","5","4 tahun lalu","Ya","Ikan goreng nya mantap cuma yg bakarnya ga seberapa matang tapi lumayan sih"
"Hakki Farafis","Bukan","3","1","7 bulan lalu","Tidak","Kejebak makan disini nyesel banget abis 190rb"
"Nur Fitriana Zumala","Ya","112","4","7 tahun lalu","Tidak","Untuk rasa ikan bakarnya cocok di lidah saya, tapi untuk menu lain biasa saja. Satu nilai minusnya. Tidak ada rincian harga di daftar menu. Jd ketika sudah pesan beberapa menu saya kaget karena untuk harga satu gurameh kecil (seukuran nila …"
"Rujakbangkok SiAteu","Bukan","1","1","2 tahun lalu","Tidak","Ada belatung shayy!!!!! Gila!!! Banyak laler pula!!! Heran masih ada aja yg mau jajan disini. Mana harganya ga jelas di getok bgt. Pas nunjukin ada belatunh ga ada say sorry samsek!!! Bahkan ttp bayar harga fulll!! SAKIT!!!"
